,Company,Cities,Year of starting,FOUNDERS,Industries,Funding amount,Funding rounds,No of employees,No of investors
262,) Trulymadly.com, Delhi, 2013,"Dhruv Khaitan, Piyush Khaitan",Apps,"56,286,865",Number of funding rounds: 4,1-10,Number of investors: 4
263,) Quess Corp, Bengaluru, 2007,Vijay Shekhar Sharma,Information,"5,781,631",Number of funding rounds: 1,251-500,Number of investors: 8
264,) FreshMenu, Bengaluru, 2014,Rahul Anand,Delivery,"40,833,000",Number of funding rounds: 7,251-500,Number of investors: 1
265,) NODWIN Gaming, Gurgaon, 2012,Sahil Kini,Events,"20,970,000",Number of funding rounds: 1,11-50,Number of investors: 8
266,) IDfy, Mumbai, 2011,"Matt Chitharanjan, Namrata Asthana",E-Commerce,"129,250,000",Number of funding rounds: 5,251-500,Number of investors: 10
267,) Kinara Capital, Bengaluru, 2011,Amit Gainda,Finance,"51,000,000",Number of funding rounds: 8,101-250,Number of investors: 14
268,) Niki, Bengaluru, 2015,Avinash Mudaliar,Android,"3,709,141",Number of funding rounds: 10,501-1000,Number of investors: 4
269,) MyGate, Bengaluru, 2016,"Achal Mittal, Gautam Adukia",Apps,"12,200,000",Number of funding rounds: 3,101-250,Number of investors: 9
270,) Neogrowth, Mumbai, 2010,"Neha Kant, Pankaj Vermani, Suman Chowdhury",Business,"108,650,000",Number of funding rounds: 7,11-50,Number of investors: 4
271,) Paytm Mall, Noida, 2010,"Ashok Kumar, Atul Shinghal, Sanjiv Singhal",E-Commerce,"515,200,000",Number of funding rounds: 3,1001-5000,Number of investors: 16
272,) Hopscotch, Mumbai, 2011,Bhanu Chopra,E-Commerce,"554,629,632",Number of funding rounds: 5,101-250,Number of investors: 4
273,) Setu, Bengaluru, 2018,"Ganesh Krishnamoorthy, Milap Shah, Rahul Jain, Rohan Mirchandani, Rohan Mirchandani, Uday Thakker",Financial,"1,179,919",Number of funding rounds: 2,1001-5000,Number of investors: 4
274,) Blue Tokai Coffee Roasters, Delhi, 2012,"Tarun Sharma, Vikas Lachhwani",Consumer,"15,000,000",Number of funding rounds: 3,101-250,Number of investors: 2
275,) Avanse Financial Services, Mumbai, 2012,"Nitin Saluja, Raghav Verma",Education,"6,065,079",Number of funding rounds: 3,11-50,Number of investors: 3
276,) Gaana, Noida, 2011,Dhawal Gusain,Apps,"7,964,767",Number of funding rounds: 3,101-250,Number of investors: 6
